local ID,Correct Document ID,person_name,Update_Person_Note_1,role,Update Role to ,Source Data from https://docs.google.com/spreadsheets/d/1FOGLzWUCnqeR9FoqH_sUAKdSa6-gG1Rc5ncKtoT5p4k/edit#gid=684112097,related_people_original
77.0,Carte_Turche_130,Gutardo Loncelo,,undetermined,,,
79.0,Carte_Turche_130,İzeppo Volta,"Volta, Iseppo",Mentioned,,,
73.0,Carte_Turche_130,Karadağ Kadısı,delete,Addressee,,,
83.0,Carte_Turche_130,Nikola Alfarati,"Alfarati, Nicola",Mentioned,,,
81.0,Carte_Turche_130,Nikola Polverin,,Mentioned,,,
74.0,Carte_Turche_130,Podgoriçe Kadısına,delete,Addressee,,,
78.0,Carte_Turche_130,Simon Kirzazelmo,,undetermined,,,
75.0,Carte_Turche_130,Valentin Cezmari,,undetermined,,,
76.0,Carte_Turche_130,Yakumo Narçis,,Mentioned,,,
84.0,Carte_Turche_131,Yanya kadısı,delete,Addressee,,,
87.0,Carte_Turche_132,Andriya Kolonyo,,undetermined,,,
86.0,Carte_Turche_132,Cevan Pavarello,"Pavarello, Giovanni",Mentioned,,,
85.0,Carte_Turche_132,Yano Marko,,undetermined,,,
88.0,Carte_Turche_133,Deryada olan Sancakbeyleri,delete,Addressee,,,
92.0,Carte_Turche_133,İsforça Kasiri,,undetermined,,,
90.0,Carte_Turche_133,Kadırga Reisleri ve Kapudanları,delete,Addressee,,,
89.0,Carte_Turche_133,Nakşe kadısı,delete ,Addressee,,,
91.0,Carte_Turche_133,Vizier,delete,Sender,,,
94.0,Carte_Turche_134,Beneto Amai,"Amai, Benetto",Mentioned,,,
93.0,Carte_Turche_134,Sabıkan Mora müfettişi olan Emirullah,Emirullah - Sabıkan Mora müfettişi,Addressee,,,
96.0,Carte_Turche_135,Liva-i mezburede olan kadılar,delete,Addressee,,,
97.0,Carte_Turche_135,Müsli reis,,Mentioned,,,
98.0,Carte_Turche_135,Ömer,,undetermined,,,
95.0,Carte_Turche_135,Sabıkan Mora beyi olan Mustafa,Mustafa - Sabıkan Mora beyi,Addressee,,,
99.0,Carte_Turche_137,Vezir Hasan Paşa,Hasan Paşa - Vezir,Sender,,,
100.0,Carte_Turche_138,Mora Müfettişi,delete,Addressee,,,
101.0,Carte_Turche_14,Yeranmiyo Lipamano Kavalir (new bailo in İstanbul),"Lipomano, Girolamo",Mentioned,,,
104.0,Carte_Turche_140,Mahmud,,Mentioned,,,
102.0,Carte_Turche_140,Mısır Defterdarı,delete,Addressee,,,
103.0,Carte_Turche_140,Murad reis,,undetermined,,,
105.0,Carte_Turche_142,Kapudan Paşa,delete,Sender,,,
106.0,Carte_Turche_142,Yakmo,,undetermined,,,
108.0,Carte_Turche_143,İnebahtı Kadısı,delete,Addressee,,,
107.0,Carte_Turche_143,İnebahtı Sancakbeyi,delete,Addressee,,,
109.0,Carte_Turche_143,Mustafa Bey,,undetermined,,,
110.0,Carte_Turche_145,Fener Kadısı,delete,Addressee,,,
111.0,Carte_Turche_146,Kesendire Kadısı,delete,Addressee,,,
112.0,Carte_Turche_147,Karlıili Kadısı,delete,Addressee,,,
115.0,Carte_Turche_15,Ahmed (previous cizye defterdar of Trablusşam),Ahmed - Sabıkan Trablusşam cizye defterdarı,undetermined,,,
113.0,Carte_Turche_15,Haleb Beylerbeyi,delete,Addressee,,,
114.0,Carte_Turche_15,Şam kadısı,delete,Addressee,,,
117.0,Carte_Turche_150,Domeniko Kostiyan,,Mentioned,,,
116.0,Carte_Turche_150,Maryo Marin,,undetermined,,,
123.0,Carte_Turche_151,Attiliyo Vimerkato,,undetermined,,,
118.0,Carte_Turche_151,Hersek Sancakbeyi,delete,Addressee,,,
119.0,Carte_Turche_151,Kilis Sancakbeyi,delete,Addressee,,,
120.0,Carte_Turche_151,Mora Sancakbeyi,delete,Addressee,,,
122.0,Carte_Turche_151,Venedik'ten Asitane-i Saadetime gelince yol üzerinde olan Kadılar,delete,Addressee,,,
121.0,Carte_Turche_151,Venedik'ten Asitane-i Saadetime gelince yol üzerinde olan Sancakbeyleri,delete,Addressee,,,
124.0,Carte_Turche_152,Boğazhisar Kadısı,delete,Addressee,,,
128.0,Carte_Turche_152,Boğazhisar Kalesi Dizdarı,delete,Addressee,,,
125.0,Carte_Turche_152,Bozcaada Kadısı,delete,Addressee,,,
130.0,Carte_Turche_152,Bozcaada Kalesi Dizdarı,delete,Addressee,,,
131.0,Carte_Turche_152,Cenazin,"Salvago, Gianesin",Mentioned,,,
127.0,Carte_Turche_152,Deryada yürüyen Kapudanlar,delete,Addressee,,,
126.0,Carte_Turche_152,Leb-i deryada olan Kadılar,delete,Addressee,,,
129.0,Carte_Turche_152,Sakız Kalesi Dizdarı,delete,Addressee,,,
132.0,Carte_Turche_154,Cevan Dominko Biffi,,undetermined,,,
133.0,Carte_Turche_155,Kartuni Matakiya İsfenç,,undetermined,,,
134.0,Carte_Turche_155,Yorgaki Bihmi,,Mentioned,,,
135.0,Carte_Turche_156,Şah çavuş oğlu Ahmed,,undetermined,,,
137.0,Carte_Turche_157,ikola Alfarat,,Mentioned,,,
136.0,Carte_Turche_157,N,delete,undetermined,,,
138.0,Carte_Turche_158,Balyabadra Kadısı olub Mora'da müfettiş olan Mevlana Halil,Mevlana Halil - Balyabadra Kadısı and Mora'da müfettiş,Addressee,,,
139.0,Carte_Turche_158,Dergah-ı Muallam Yeniçeri zabiti,delete,Addressee,,,
140.0,Carte_Turche_159,Balyabadra kadısı ve Mora müfettişi olan Mevlana Halil,delete,Addressee,,,
143.0,Carte_Turche_159,Koronlu Musa reis,,undetermined,,,
142.0,Carte_Turche_159,Mevlana Halil,,Mentioned,,,
141.0,Carte_Turche_159,Şahbaz,delete,undetermined,,,
