Personal name (Tamil),Personal name (English),Personal name_other (Tamil),Personal name_other (Tamil),Title (Tamil)
100 $a,100 $b,400,,245 $a 
அசோகமித்திரன்,acōkamittiraṉ,ஜ. தியாகராஜன்,---,18வது அட்சக்கோடு
